name,price_usd,price_inr,positive_reviews,negative_reviews,user_rating_pct,jes,category,joy_per_1000_inr,rank_in_category
EVERSPACE™ 2,49.99,4149.17,10088,1540,86.75610595115239,0.0209042294535289,Indie/AA,20.904229453528984,1441.0
Banishers: Ghosts of New Eden,49.99,4149.17,5288,840,86.29242819843343,0.0207925044512474,Indie/AA,20.7925044512474,1442.0
Shadow Warrior 3: Definitive Edition,39.99,3319.17,3493,1607,68.49019607843138,0.0206285208523754,Indie/AA,20.628520852375445,1443.0
Strange Brigade,49.99,4149.17,9034,1694,84.20954511558539,0.0202906254721096,Indie/AA,20.290625472109667,1444.0
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,49.99,4149.17,6361,1241,83.67534859247566,0.0201619086910838,Indie/AA,20.161908691083894,1445.0
BIOMUTANT,39.99,3319.17,12840,6587,66.0935810984712,0.0199066858318915,Indie/AA,19.9066858318915,1446.0
Tom Clancy’s Rainbow Six® Extraction,39.99,3319.17,1871,980,65.62609610662925,0.0197658843091255,Indie/AA,19.76588430912551,1447.0
Tales of Vesperia: Definitive Edition,49.99,4149.17,3670,843,81.32062929315312,0.0195945296923145,Indie/AA,19.59452969231456,1448.0
Baldur's Gate 3,59.99,4979.17,736688,23974,96.84827163707402,0.0194467802579177,AAA,19.446780257917705,1.0
No More Room in Hell 2,29.99,2489.17,7885,8630,47.74447471995156,0.0191731788271288,Indie/AA,19.173178827128897,1449.0
Sekiro™: Shadows Die Twice - GOTY Edition,59.99,4979.17,307041,15193,95.28510337208364,0.019132901762808,AAA,19.132901762808025,2.0
IL-2 Sturmovik: Battle of Stalingrad,49.99,4149.17,7142,1888,79.09191583610188,0.0190575123033759,Indie/AA,19.057512303375976,1450.0
OCTOPATH TRAVELER II,59.99,4979.17,12882,692,94.90201856490349,0.0190559797285842,AAA,19.055979728584266,3.0
Lost Judgment,59.99,4979.17,7238,428,94.41690581789722,0.0189585708555927,AAA,18.95857085559272,4.0
